time_close,symbol,fundingRate,fundingRateTimestamp
2020-03-25 16:00:00,BTCUSDT,0.0001,1585152000000
2020-03-26 00:00:00,BTCUSDT,0.0001,1585180800000
2020-03-26 08:00:00,BTCUSDT,0.0001,1585209600000
2020-03-26 16:00:00,BTCUSDT,0.0001,1585238400000
2020-03-27 00:00:00,BTCUSDT,0.0001,1585267200000
2020-03-27 08:00:00,BTCUSDT,0.0001,1585296000000
2020-03-27 16:00:00,BTCUSDT,0.0001,1585324800000
2020-03-28 00:00:00,BTCUSDT,0.0001,1585353600000
2020-03-28 08:00:00,BTCUSDT,0.0001,1585382400000
2020-03-28 16:00:00,BTCUSDT,0.0001,1585411200000
2020-03-29 00:00:00,BTCUSDT,0.0001,1585440000000
2020-03-29 08:00:00,BTCUSDT,0.0001,1585468800000
2020-03-29 16:00:00,BTCUSDT,0.0001,1585497600000
2020-03-30 00:00:00,BTCUSDT,0.0001,1585526400000
2020-03-30 08:00:00,BTCUSDT,0.0001,1585555200000
2020-03-30 16:00:00,BTCUSDT,0.0001,1585584000000
2020-03-31 00:00:00,BTCUSDT,0.0001,1585612800000
2020-03-31 08:00:00,BTCUSDT,0.0001,1585641600000
2020-03-31 16:00:00,BTCUSDT,0.0001,1585670400000
2020-04-01 00:00:00,BTCUSDT,0.0001,1585699200000
2020-04-01 08:00:00,BTCUSDT,0.0001,1585728000000
2020-04-01 16:00:00,BTCUSDT,-0.00024535,1585756800000
2020-04-02 00:00:00,BTCUSDT,-0.00065103,1585785600000
2020-04-02 08:00:00,BTCUSDT,-0.00076413,1585814400000
2020-04-02 16:00:00,BTCUSDT,-0.00063135,1585843200000
2020-04-03 00:00:00,BTCUSDT,-0.00196465,1585872000000
2020-04-03 08:00:00,BTCUSDT,-0.00375,1585900800000
2020-04-03 16:00:00,BTCUSDT,-0.00198009,1585929600000
2020-04-04 00:00:00,BTCUSDT,-0.0007468,1585958400000
2020-04-04 08:00:00,BTCUSDT,-0.00021154,1585987200000
2020-04-04 16:00:00,BTCUSDT,0.00009922,1586016000000
2020-04-05 00:00:00,BTCUSDT,0.0001,1586044800000
2020-04-05 08:00:00,BTCUSDT,0.0001,1586073600000
2020-04-05 16:00:00,BTCUSDT,0.0001,1586102400000
2020-04-06 00:00:00,BTCUSDT,0.0001,1586131200000
2020-04-06 08:00:00,BTCUSDT,0.0001,1586160000000
2020-04-06 16:00:00,BTCUSDT,0.0001,1586188800000
2020-04-07 00:00:00,BTCUSDT,0.00009599,1586217600000
2020-04-07 08:00:00,BTCUSDT,-0.0000704,1586246400000
