time_close,rebalanced_pos_contracts
2010-07-14,
2010-07-15,0.0
2010-07-16,0.0
2010-07-17,0.0
2010-07-18,0.0
2010-07-19,0.0
2010-07-20,0.0
2010-07-21,0.0
2010-07-22,0.0
2010-07-23,0.0
2010-07-24,0.0
2010-07-25,0.0
2010-07-26,0.0
2010-07-27,0.0
2010-07-28,0.0
2010-07-29,0.0
2010-07-30,0.0
2010-07-31,0.0
2010-08-01,0.0
2010-08-02,0.0
2010-08-03,0.0
2010-08-04,0.0
2010-08-05,0.0
2010-08-06,0.0
2010-08-07,0.0
2010-08-08,0.0
2010-08-09,0.0
2010-08-10,0.0
2010-08-11,0.0
2010-08-12,0.0
2010-08-13,0.0
2010-08-14,-3371.8612389351874
2010-08-15,2908.2713396482404
2010-08-16,6656.4676637742505
2010-08-17,2865.4393264466994
2010-08-18,2265.067775811735
2010-08-19,2265.067775811735
2010-08-20,1833.3762768390347
2010-08-21,1833.3762768390347
2010-08-22,1575.3213371430204
2010-08-23,1323.3708225348987
2010-08-24,988.3191096407569
2010-08-25,988.3191096407569
2010-08-26,1301.16158140661
2010-08-27,1003.7432979175553
2010-08-28,778.2977036471164
2010-08-29,-911.6445130163698
2010-08-30,-723.0792526844932
2010-08-31,-232.75972538232477
2010-09-01,-1188.8612847227855
2010-09-02,-2010.238985451941
2010-09-03,-3474.301187541115
2010-09-04,-4714.472784117236
2010-09-05,-5548.049413988338
2010-09-06,-5548.049413988338
2010-09-07,-6749.077918610344
2010-09-08,-6749.077918610344
2010-09-09,-7651.759325788579
2010-09-10,-7651.759325788579
2010-09-11,-6353.34750816155
2010-09-12,-7173.227688710822
2010-09-13,-7173.227688710822
2010-09-14,-7173.227688710822
2010-09-15,1379.4906984253323
2010-09-16,5728.871849530808
2010-09-17,2579.2284863147443
2010-09-18,1356.8655149991605
2010-09-19,318.078840539191
2010-09-20,-469.48831724658646
2010-09-21,-1197.4970101861552
2010-09-22,-1454.7390135665607
2010-09-23,-1922.8097247005462
2010-09-24,-2242.3971646847212
2010-09-25,-2543.5446343809554
2010-09-26,-2543.5446343809554
2010-09-27,-2890.9803440105575
2010-09-28,-2890.9803440105575
2010-09-29,-3232.1522005232396
2010-09-30,-2907.8119827731734
2010-10-01,-2907.8119827731734
2010-10-02,-3577.6952171503935
2010-10-03,-3577.6952171503935
2010-10-04,-3577.6952171503935
2010-10-05,-3577.6952171503935
2010-10-06,-2668.505533975212
2010-10-07,-840.725368973039
